"A","Z","N","energy","half-life (s)","mass"
56,26,30,9.153567,NA,55.9349368553891
62,28,34,9.147877,NA,61.9283445290692
60,28,32,9.145862,NA,59.9307857873554
58,26,32,9.142938,NA,57.9332749922683
52,24,28,9.137037,NA,51.9405069984299
57,26,31,9.127119,NA,56.9353934199029
59,27,32,9.126046,NA,58.9331944852121
54,24,30,9.125633,NA,53.9388799116967
61,28,33,9.124129,NA,60.9310554285172
55,25,30,9.120611,NA,54.9380445818261
64,28,36,9.119754,NA,63.9279653042355
66,30,36,9.115258,NA,65.9260327791756
53,24,29,9.114435,NA,52.9406489071673
63,29,34,9.112272,NA,62.9295968785461
65,29,36,9.106154,NA,64.9277887751006
68,30,38,9.100845,NA,67.9248435116395
50,22,28,9.099861,NA,49.9447906945754
51,23,28,9.094884,NA,50.9439590029457
67,30,37,9.084468,NA,66.9271267100436
48,22,26,9.081488,NA,47.9479458296304
72,32,40,9.079465,NA,71.9220751125853
70,32,38,9.079372,NA,69.9242466815634
69,31,38,9.076078,NA,68.9255728733716
88,38,50,9.070438,NA,87.9056112686074
74,32,42,9.063522,NA,73.9211770803875
49,22,27,9.062323,NA,48.947869516911
76,34,42,9.061485,NA,75.9192129287183
71,31,40,9.059218,NA,70.9247006620565
78,34,44,9.058842,NA,77.9173082685691
90,40,50,9.057631,NA,89.9047034693053
89,39,50,9.056743,NA,88.9058471639839
86,38,48,9.05416,NA,85.9092593300253
82,36,46,9.054126,NA,81.9134828193442
84,36,48,9.052649,NA,83.9115058366759
73,32,41,9.048006,NA,72.9234582240281
87,38,49,9.046964,NA,86.9088763003882
75,33,42,9.045093,NA,74.9215957316177
80,36,44,9.044984,NA,79.9163781416968
77,34,43,9.040153,NA,76.9199133058332
85,37,48,9.037998,NA,84.9117892567763
91,40,51,9.037156,NA,90.9056448731743
83,36,47,9.034966,NA,82.9141349674903
79,35,44,9.03422,NA,78.9183363095943
81,35,46,9.033979,NA,80.9162898310486
92,40,52,9.032783,NA,91.9050399076178
46,22,24,9.030532,NA,45.9526311150065
47,22,25,9.027336,NA,46.9517626158438
44,20,24,9.013793,NA,43.9554813141535
94,42,52,9.011856,NA,93.9050873671818
93,41,52,9.009051,NA,92.9063771261238
96,42,54,8.996229,NA,95.9046784717362
95,42,53,8.994564,NA,94.9058412121607
42,20,22,8.989116,NA,41.958617548391
38,18,20,8.98487,NA,37.9627319484523
45,21,24,8.983945,NA,44.9559114673352
97,42,55,8.973806,NA,96.9060205308525
98,44,54,8.971572,NA,97.9052867035033
43,20,23,8.964551,NA,42.9587662311917
100,44,56,8.963517,NA,99.9042185188594
99,44,55,8.956348,NA,98.9059382612001
34,16,18,8.951675,NA,33.967866535327
40,18,22,8.947325,NA,39.962382720588
102,44,58,8.944837,NA,101.904348377227
101,44,57,8.942117,NA,100.905581062271
41,19,22,8.938623,NA,40.9618253098146
39,19,20,8.938174,NA,38.9637062886544
104,46,58,8.930847,NA,103.904034818939
37,17,20,8.92976,NA,36.9659017182237
103,45,58,8.92591,NA,102.90550347005
36,16,20,8.923108,NA,35.9670803771601
106,46,60,8.91946,NA,105.903485126038
105,46,59,8.913356,NA,104.905083699603
35,17,18,8.900285,NA,34.9688523635245
108,46,62,8.900253,NA,107.90389100333
107,47,60,8.897514,NA,106.905095528238
110,48,62,8.892718,NA,109.903001014124
30,14,16,8.885761,NA,29.9737697905144
109,47,62,8.8853,NA,108.904750850053
32,16,16,8.884318,NA,31.9720706818545
33,16,17,8.876964,NA,32.9714584204923
31,15,16,8.859744,NA,30.9737612925024
28,14,14,8.838935,NA,27.9769260248786
29,14,15,8.826327,NA,28.9764944764158
112,48,64,8.880077,NA,111.902757311351
111,48,63,8.875445,NA,110.90417751449
114,50,64,8.865722,NA,113.902777657485
113,49,64,8.862212,NA,112.904056284848
116,50,66,8.860362,NA,115.901739489134
115,50,65,8.854249,NA,114.90334125864
118,50,68,8.848073,NA,117.901602090845
117,50,67,8.843977,NA,116.902950448118
120,50,70,8.830537,NA,119.902193409998
119,50,69,8.828201,NA,118.903306892999
121,51,70,8.811783,NA,120.903814477859
122,52,70,8.811606,NA,121.9030427383
124,52,72,8.801364,NA,123.902816684592
123,51,72,8.796727,NA,122.904212717959
126,52,74,8.786126,NA,125.903310403557
125,52,73,8.783505,NA,124.904429501193
128,54,74,8.773359,NA,127.903530008064
127,53,74,8.771981,NA,126.904471556536
130,54,76,8.762725,NA,129.903506753278
129,54,75,8.758904,NA,128.904778168572
132,54,78,8.747695,NA,131.904152110348
131,54,77,8.746253,NA,130.905081025352
134,56,78,8.735133,NA,133.904506974971
133,55,78,8.733515,NA,132.905450629736
